hours_from_pitch,plato,specific_gravity,fluid_temp,style_name
0.0,12.4,1.05,22.0,Mixed-Culture 67
0.5,12.387,1.05,21.957,Mixed-Culture 67
1.0,12.373,1.05,21.914,Mixed-Culture 67
1.5,12.36,1.05,21.87,Mixed-Culture 67
2.0,12.346,1.05,21.827,Mixed-Culture 67
2.5,12.333,1.05,21.784,Mixed-Culture 67
3.0,12.319,1.05,21.741,Mixed-Culture 67
3.5,12.306,1.05,21.698,Mixed-Culture 67
4.0,12.292,1.05,21.654,Mixed-Culture 67
4.5,12.279,1.05,21.611,Mixed-Culture 67
5.0,12.265,1.049,21.568,Mixed-Culture 67
5.5,12.252,1.049,21.525,Mixed-Culture 67
6.0,12.238,1.049,21.482,Mixed-Culture 67
6.5,12.225,1.049,21.438,Mixed-Culture 67
7.0,12.211,1.049,21.395,Mixed-Culture 67
7.5,12.198,1.049,21.352,Mixed-Culture 67
8.0,12.184,1.049,21.309,Mixed-Culture 67
8.5,12.171,1.049,21.266,Mixed-Culture 67
9.0,12.157,1.049,21.222,Mixed-Culture 67
9.5,12.144,1.049,21.179,Mixed-Culture 67
10.0,12.13,1.049,21.136,Mixed-Culture 67
10.5,12.117,1.049,21.093,Mixed-Culture 67
11.0,12.103,1.049,21.05,Mixed-Culture 67
11.5,12.09,1.049,21.006,Mixed-Culture 67
12.0,12.076,1.049,20.963,Mixed-Culture 67
12.5,12.063,1.049,20.92,Mixed-Culture 67
13.0,12.049,1.049,20.877,Mixed-Culture 67
13.5,12.036,1.049,20.834,Mixed-Culture 67
14.0,12.022,1.048,20.79,Mixed-Culture 67
14.5,12.009,1.048,20.747,Mixed-Culture 67
15.0,11.995,1.048,20.704,Mixed-Culture 67
15.5,11.982,1.048,20.661,Mixed-Culture 67
16.0,11.968,1.048,20.618,Mixed-Culture 67
16.5,11.955,1.048,20.575,Mixed-Culture 67
17.0,11.941,1.048,20.531,Mixed-Culture 67
17.5,11.928,1.048,20.488,Mixed-Culture 67
18.0,11.914,1.048,20.445,Mixed-Culture 67
18.5,11.901,1.048,20.402,Mixed-Culture 67
19.0,11.852,1.048,20.421,Mixed-Culture 67
19.5,11.801,1.048,20.444,Mixed-Culture 67
20.0,11.751,1.047,20.466,Mixed-Culture 67
20.5,11.701,1.047,20.488,Mixed-Culture 67
21.0,11.651,1.047,20.511,Mixed-Culture 67
21.5,11.6,1.047,20.533,Mixed-Culture 67
22.0,11.55,1.046,20.556,Mixed-Culture 67
22.5,11.5,1.046,20.578,Mixed-Culture 67
23.0,11.449,1.046,20.6,Mixed-Culture 67
23.5,11.399,1.046,20.623,Mixed-Culture 67
24.0,11.349,1.046,20.645,Mixed-Culture 67
24.5,11.299,1.045,20.667,Mixed-Culture 67
25.0,11.248,1.045,20.69,Mixed-Culture 67
25.5,11.198,1.045,20.712,Mixed-Culture 67
26.0,11.148,1.045,20.734,Mixed-Culture 67
26.5,11.098,1.044,20.757,Mixed-Culture 67
27.0,11.047,1.044,20.779,Mixed-Culture 67
27.5,10.994,1.044,20.8,Mixed-Culture 67
28.0,10.891,1.044,20.8,Mixed-Culture 67
28.5,10.787,1.043,20.8,Mixed-Culture 67
29.0,10.684,1.043,20.8,Mixed-Culture 67
29.5,10.581,1.042,20.8,Mixed-Culture 67
30.0,10.478,1.042,20.8,Mixed-Culture 67
30.5,10.374,1.041,20.8,Mixed-Culture 67
31.0,10.271,1.041,20.8,Mixed-Culture 67
31.5,10.168,1.041,20.8,Mixed-Culture 67
32.0,10.065,1.04,20.8,Mixed-Culture 67
32.5,9.961,1.04,20.8,Mixed-Culture 67
33.0,9.858,1.039,20.8,Mixed-Culture 67
33.5,9.755,1.039,20.8,Mixed-Culture 67
34.0,9.652,1.039,20.8,Mixed-Culture 67
34.5,9.549,1.038,20.8,Mixed-Culture 67
35.0,9.445,1.038,20.8,Mixed-Culture 67
35.5,9.342,1.037,20.8,Mixed-Culture 67
36.0,9.239,1.037,20.8,Mixed-Culture 67
36.5,9.136,1.037,20.8,Mixed-Culture 67
37.0,9.032,1.036,20.8,Mixed-Culture 67
37.5,8.929,1.036,20.8,Mixed-Culture 67
38.0,8.826,1.035,20.8,Mixed-Culture 67
38.5,8.723,1.035,20.8,Mixed-Culture 67
39.0,8.619,1.034,20.8,Mixed-Culture 67
39.5,8.516,1.034,20.8,Mixed-Culture 67
40.0,8.413,1.034,20.8,Mixed-Culture 67
40.5,8.31,1.033,20.8,Mixed-Culture 67
41.0,8.206,1.033,20.8,Mixed-Culture 67
41.5,8.103,1.032,20.8,Mixed-Culture 67
42.0,8.0,1.032,20.8,Mixed-Culture 67
42.5,7.919,1.032,20.788,Mixed-Culture 67
43.0,7.838,1.031,20.777,Mixed-Culture 67
43.5,7.757,1.031,20.765,Mixed-Culture 67
44.0,7.676,1.031,20.754,Mixed-Culture 67
44.5,7.595,1.03,20.742,Mixed-Culture 67
45.0,7.514,1.03,20.731,Mixed-Culture 67
45.5,7.434,1.03,20.719,Mixed-Culture 67
46.0,7.353,1.029,20.708,Mixed-Culture 67
46.5,7.272,1.029,20.696,Mixed-Culture 67
47.0,7.191,1.029,20.684,Mixed-Culture 67
47.5,7.11,1.028,20.673,Mixed-Culture 67
48.0,7.029,1.028,20.661,Mixed-Culture 67
48.5,6.948,1.027,20.65,Mixed-Culture 67
49.0,6.867,1.027,20.638,Mixed-Culture 67
49.5,6.786,1.027,20.627,Mixed-Culture 67
50.0,6.705,1.026,20.615,Mixed-Culture 67
50.5,6.624,1.026,20.603,Mixed-Culture 67
51.0,6.552,1.026,20.59,Mixed-Culture 67
51.5,6.483,1.026,20.577,Mixed-Culture 67
52.0,6.414,1.025,20.563,Mixed-Culture 67
52.5,6.346,1.025,20.549,Mixed-Culture 67
53.0,6.277,1.025,20.535,Mixed-Culture 67
53.5,6.208,1.024,20.522,Mixed-Culture 67
54.0,6.139,1.024,20.508,Mixed-Culture 67
54.5,6.07,1.024,20.494,Mixed-Culture 67
55.0,6.002,1.024,20.48,Mixed-Culture 67
55.5,5.933,1.023,20.467,Mixed-Culture 67
56.0,5.864,1.023,20.453,Mixed-Culture 67
56.5,5.795,1.023,20.439,Mixed-Culture 67
57.0,5.727,1.023,20.425,Mixed-Culture 67
57.5,5.658,1.022,20.412,Mixed-Culture 67
58.0,5.589,1.022,20.398,Mixed-Culture 67
58.5,5.52,1.022,20.384,Mixed-Culture 67
59.0,5.451,1.021,20.37,Mixed-Culture 67
59.5,5.383,1.021,20.357,Mixed-Culture 67
60.0,5.314,1.021,20.343,Mixed-Culture 67
60.5,5.245,1.021,20.329,Mixed-Culture 67
61.0,5.176,1.02,20.315,Mixed-Culture 67
61.5,5.108,1.02,20.302,Mixed-Culture 67
62.0,5.039,1.02,20.288,Mixed-Culture 67
62.5,4.97,1.019,20.274,Mixed-Culture 67
63.0,4.901,1.019,20.26,Mixed-Culture 67
63.5,4.832,1.019,20.246,Mixed-Culture 67
64.0,4.764,1.019,20.233,Mixed-Culture 67
64.5,4.695,1.018,20.219,Mixed-Culture 67
65.0,4.626,1.018,20.205,Mixed-Culture 67
65.5,4.6,1.018,20.182,Mixed-Culture 67
66.0,4.6,1.018,20.154,Mixed-Culture 67
66.5,4.6,1.018,20.126,Mixed-Culture 67
67.0,4.6,1.018,20.097,Mixed-Culture 67
67.5,4.6,1.018,20.069,Mixed-Culture 67
68.0,4.6,1.018,20.041,Mixed-Culture 67
68.5,4.6,1.018,20.012,Mixed-Culture 67
69.0,4.6,1.018,19.984,Mixed-Culture 67
69.5,4.6,1.018,19.956,Mixed-Culture 67
70.0,4.6,1.018,19.927,Mixed-Culture 67
70.5,4.6,1.018,19.899,Mixed-Culture 67
71.0,4.6,1.018,19.87,Mixed-Culture 67
71.5,4.6,1.018,19.842,Mixed-Culture 67
72.0,4.6,1.018,19.814,Mixed-Culture 67
72.5,4.6,1.018,19.785,Mixed-Culture 67
73.0,4.6,1.018,19.757,Mixed-Culture 67
73.5,4.6,1.018,19.729,Mixed-Culture 67
74.0,4.6,1.018,19.7,Mixed-Culture 67
74.5,4.6,1.018,19.672,Mixed-Culture 67
75.0,4.6,1.018,19.644,Mixed-Culture 67
75.5,4.6,1.018,19.615,Mixed-Culture 67
76.0,4.6,1.018,19.587,Mixed-Culture 67
76.5,4.6,1.018,19.558,Mixed-Culture 67
77.0,4.6,1.018,19.53,Mixed-Culture 67
77.5,4.6,1.018,19.502,Mixed-Culture 67
78.0,4.563,1.018,19.5,Mixed-Culture 67
78.5,4.524,1.018,19.5,Mixed-Culture 67
79.0,4.486,1.018,19.5,Mixed-Culture 67
79.5,4.447,1.017,19.5,Mixed-Culture 67
80.0,4.408,1.017,19.5,Mixed-Culture 67
80.5,4.369,1.017,19.5,Mixed-Culture 67
81.0,4.33,1.017,19.5,Mixed-Culture 67
81.5,4.291,1.017,19.5,Mixed-Culture 67
82.0,4.252,1.017,19.5,Mixed-Culture 67
82.5,4.213,1.016,19.5,Mixed-Culture 67
83.0,4.174,1.016,19.5,Mixed-Culture 67
83.5,4.135,1.016,19.5,Mixed-Culture 67
84.0,4.096,1.016,19.5,Mixed-Culture 67
84.5,4.057,1.016,19.5,Mixed-Culture 67
85.0,4.018,1.016,19.5,Mixed-Culture 67
85.5,3.979,1.016,19.5,Mixed-Culture 67
86.0,3.94,1.015,19.5,Mixed-Culture 67
86.5,3.901,1.015,19.5,Mixed-Culture 67
87.0,3.862,1.015,19.5,Mixed-Culture 67
87.5,3.824,1.015,19.5,Mixed-Culture 67
88.0,3.785,1.015,19.5,Mixed-Culture 67
88.5,3.746,1.015,19.5,Mixed-Culture 67
89.0,3.707,1.014,19.5,Mixed-Culture 67
89.5,3.668,1.014,19.5,Mixed-Culture 67
90.0,3.629,1.014,19.5,Mixed-Culture 67
90.5,3.6,1.014,19.5,Mixed-Culture 67
91.0,3.6,1.014,19.5,Mixed-Culture 67
91.5,3.6,1.014,19.5,Mixed-Culture 67
92.0,3.6,1.014,19.5,Mixed-Culture 67
92.5,3.6,1.014,19.5,Mixed-Culture 67
93.0,3.6,1.014,19.5,Mixed-Culture 67
93.5,3.6,1.014,19.5,Mixed-Culture 67
94.0,3.6,1.014,19.5,Mixed-Culture 67
94.5,3.6,1.014,19.5,Mixed-Culture 67
95.0,3.6,1.014,19.5,Mixed-Culture 67
95.5,3.6,1.014,19.5,Mixed-Culture 67
96.0,3.6,1.014,19.5,Mixed-Culture 67
96.5,3.6,1.014,19.5,Mixed-Culture 67
97.0,3.6,1.014,19.5,Mixed-Culture 67
97.5,3.6,1.014,19.5,Mixed-Culture 67
98.0,3.6,1.014,19.5,Mixed-Culture 67
98.5,3.6,1.014,19.5,Mixed-Culture 67
99.0,3.6,1.014,19.5,Mixed-Culture 67
99.5,3.597,1.014,19.497,Mixed-Culture 67
100.0,3.572,1.014,19.472,Mixed-Culture 67
100.5,3.548,1.014,19.448,Mixed-Culture 67
101.0,3.524,1.014,19.424,Mixed-Culture 67
101.5,3.5,1.014,19.4,Mixed-Culture 67
102.0,3.476,1.014,19.376,Mixed-Culture 67
102.5,3.451,1.013,19.351,Mixed-Culture 67
103.0,3.427,1.013,19.327,Mixed-Culture 67
103.5,3.403,1.013,19.303,Mixed-Culture 67
104.0,3.379,1.013,19.279,Mixed-Culture 67
104.5,3.355,1.013,19.255,Mixed-Culture 67
105.0,3.33,1.013,19.23,Mixed-Culture 67
105.5,3.306,1.013,19.206,Mixed-Culture 67
106.0,3.282,1.013,19.182,Mixed-Culture 67
106.5,3.258,1.013,19.158,Mixed-Culture 67
107.0,3.234,1.013,19.134,Mixed-Culture 67
107.5,3.209,1.012,19.109,Mixed-Culture 67
108.0,3.185,1.012,19.085,Mixed-Culture 67
108.5,3.161,1.012,19.061,Mixed-Culture 67
109.0,3.137,1.012,19.037,Mixed-Culture 67
109.5,3.113,1.012,19.013,Mixed-Culture 67
110.0,3.1,1.012,18.993,Mixed-Culture 67
110.5,3.1,1.012,18.978,Mixed-Culture 67
111.0,3.1,1.012,18.963,Mixed-Culture 67
111.5,3.1,1.012,18.948,Mixed-Culture 67
112.0,3.1,1.012,18.933,Mixed-Culture 67
112.5,3.1,1.012,18.918,Mixed-Culture 67
113.0,3.1,1.012,18.903,Mixed-Culture 67
113.5,3.1,1.012,18.888,Mixed-Culture 67
114.0,3.1,1.012,18.873,Mixed-Culture 67
114.5,3.1,1.012,18.858,Mixed-Culture 67
115.0,3.1,1.012,18.843,Mixed-Culture 67
115.5,3.1,1.012,18.827,Mixed-Culture 67
116.0,3.1,1.012,18.812,Mixed-Culture 67
116.5,3.1,1.012,18.797,Mixed-Culture 67
117.0,3.1,1.012,18.782,Mixed-Culture 67
117.5,3.1,1.012,18.767,Mixed-Culture 67
118.0,3.1,1.012,18.752,Mixed-Culture 67
118.5,3.1,1.012,18.737,Mixed-Culture 67
119.0,3.1,1.012,18.722,Mixed-Culture 67
119.5,3.1,1.012,18.707,Mixed-Culture 67
120.0,3.1,1.012,18.692,Mixed-Culture 67
120.5,3.1,1.012,18.677,Mixed-Culture 67
121.0,3.1,1.012,18.662,Mixed-Culture 67
121.5,3.1,1.012,18.647,Mixed-Culture 67
122.0,3.1,1.012,18.632,Mixed-Culture 67
122.5,3.1,1.012,18.617,Mixed-Culture 67
123.0,3.1,1.012,18.602,Mixed-Culture 67
